[2014-06-29 22:57:54] DELETE gabaros2/views/manage_chars/edit_ware.html: -18
[2014-06-29 22:58:26] EDIT gabaros2/views/manage_char/edit_ware.html: 15
[2014-06-29 23:23:02] EDIT gabaros2/modules/basic.py: 0
[2014-06-29 23:23:10] EDIT gabaros2/modules/basic.py: 0
[2014-06-30 00:09:53] EDIT gabaros2/modules/basic.py: 0
[2014-06-30 00:10:17] EDIT gabaros2/modules/basic.py: 0
[2014-06-30 00:12:14] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-30 00:14:26] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-30 00:22:10] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-30 00:22:18] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-06 21:21:05] EDIT gabaros2/controllers/manage_char.py: 10
[2014-07-06 21:22:14] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-06 21:22:24] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-06 21:23:25] CREATE manage_char/edit_damage.html: 0
[2014-07-06 21:25:01] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-06 21:26:01] EDIT gabaros2/models/x30_state.py: -1
[2014-07-06 21:26:02] EDIT gabaros2/models/x30_state.py: 0
[2014-07-06 21:29:25] EDIT gabaros2/models/x30_state.py: -1
[2014-07-06 21:31:00] EDIT gabaros2/models/x30_state.py: 0
[2014-07-06 21:32:09] EDIT gabaros2/models/x30_state.py: 0
[2014-07-06 21:32:46] EDIT gabaros2/models/x30_state.py: 0
[2014-07-06 21:32:50] EDIT gabaros2/models/x30_state.py: 0
[2014-07-06 21:39:04] EDIT gabaros2/models/x30_state.py: -1
[2014-07-06 21:39:49] EDIT gabaros2/controllers/manage_char.py: 1
[2014-07-26 21:19:26] EDIT gabaros2/controllers/manage_char.py: 11
[2014-07-26 21:20:25] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-26 21:23:30] CREATE manage_char/edit_wounds.html: 0
[2014-07-26 21:43:23] EDIT gabaros2/controllers/manage_char.py: 1
[2014-07-26 22:03:36] EDIT gabaros2/controllers/manage_char.py: 2
[2014-07-26 22:05:33] EDIT gabaros2/controllers/manage_char.py: 12
[2014-07-26 22:06:39] CREATE manage_char/edit_item.html: 0
[2014-07-26 22:20:08] EDIT gabaros2/models/x10_character.py: 0
[2014-07-27 15:36:48] EDIT gabaros2/controllers/manage_char.py: 24
[2014-07-27 15:37:36] EDIT gabaros2/controllers/manage_char.py: 2
[2014-07-27 15:53:03] EDIT gabaros2/controllers/manage_char.py: 1
[2014-07-27 16:07:41] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:08:12] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:08:44] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:09:24] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:09:59] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:10:21] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:11:44] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:13:18] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:13:56] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-27 16:14:18] EDIT gabaros2/controllers/manage_char.py: -1
[2014-07-27 16:30:11] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 21:26:58] EDIT gabaros2/controllers/manage_char.py: -1
[2014-07-28 21:31:22] EDIT gabaros2/controllers/manage_char.py: -2
[2014-07-28 21:34:14] EDIT gabaros2/controllers/manage_char.py: -1
[2014-07-28 21:35:28] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 21:36:49] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 21:36:49] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 22:22:40] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 22:23:17] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 22:23:17] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 22:23:17] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 22:23:17] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-28 22:24:02] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 21:49:51] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 21:50:56] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 21:53:56] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 21:58:27] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 21:59:01] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 22:01:32] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 22:05:06] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 22:06:01] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 22:07:01] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 22:08:09] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 22:08:34] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 22:09:10] EDIT gabaros2/controllers/manage_char.py: 0
[2014-07-30 23:09:05] EDIT gabaros2/controllers/manage_char.py: 0
[2014-09-15 21:44:12] DELETE gabaros/views/view_char/view_char.html: 0
[2015-03-09 20:46:50] EDIT gabaros/controllers/manage_char.py: 13
[2015-03-09 20:48:25] EDIT gabaros/controllers/manage_char.py: 1
[2015-03-09 20:49:08] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-09 20:51:34] EDIT gabaros/controllers/manage_char.py: -1
[2015-03-09 20:56:40] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-09 20:57:38] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-09 21:15:45] EDIT gabaros/controllers/manage_char.py: 1
[2015-03-09 21:15:50] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-09 21:16:31] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-09 21:17:34] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-09 21:18:36] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-09 21:20:45] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-09 21:23:06] EDIT gabaros/controllers/manage_char.py: 0
[2015-03-22 15:17:40] CREATE view_char/view_char.html: 0
[2015-04-29 21:13:23] EDIT gabaros/controllers/view_char.py: 1
[2015-04-29 21:13:42] EDIT gabaros/views/view_char/combat.html: 1
[2015-04-29 21:21:17] EDIT gabaros/controllers/view_char.py: 5
[2015-04-29 21:21:49] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 21:29:02] EDIT gabaros/views/view_char/combat.html: 0
[2015-04-29 21:29:20] EDIT gabaros/views/view_char/combat.html: 0
[2015-04-29 21:29:42] EDIT gabaros/views/view_char/combat.html: 0
[2015-04-29 21:32:04] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 21:48:25] EDIT gabaros/views/view_char/combat.html: 0
[2015-04-29 21:55:36] EDIT gabaros/controllers/view_char.py: 2
[2015-04-29 21:56:26] EDIT gabaros/views/view_char/combat.html: 2
[2015-04-29 22:03:09] EDIT gabaros/views/view_char/combat.html: 0
[2015-04-29 22:03:45] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:04:59] EDIT gabaros/controllers/view_char.py: -1
[2015-04-29 22:05:42] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:06:11] EDIT gabaros/controllers/view_char.py: -3
[2015-04-29 22:15:50] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:17:42] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:18:07] EDIT gabaros/views/view_char/combat.html: -2
[2015-04-29 22:21:26] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:21:46] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:22:09] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:24:13] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:30:58] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:33:59] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:35:45] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:36:33] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:36:34] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:36:34] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:36:34] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:37:21] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:46:23] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:46:35] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:47:14] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:47:33] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:49:49] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:50:42] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:51:07] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:51:08] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:51:44] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:52:05] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:52:16] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:53:32] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:54:08] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:54:08] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:54:08] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:54:08] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:54:08] EDIT gabaros/controllers/view_char.py: 0
[2015-04-29 22:54:19] EDIT gabaros/controllers/view_char.py: 0
[2015-04-30 21:10:23] EDIT gabaros/controllers/view_char.py: 0
[2015-04-30 21:11:10] EDIT gabaros/views/view_char/combat.html: 2
[2015-04-30 21:12:09] EDIT gabaros/controllers/view_char.py: 0
[2015-04-30 21:31:38] EDIT gabaros/models/menu.py: 46
[2015-04-30 21:32:50] EDIT gabaros/models/menu.py: -36
[2015-04-30 21:39:38] EDIT gabaros/models/menu.py: 13
[2015-04-30 21:40:12] EDIT gabaros/models/menu.py: 0
[2015-04-30 21:42:11] EDIT gabaros/controllers/manage_char.py: 1
[2015-04-30 21:43:35] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 21:43:52] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 21:50:26] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 21:51:33] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 21:52:37] EDIT gabaros/models/menu.py: 0
[2015-04-30 21:57:55] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 21:58:47] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 22:07:18] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 22:09:13] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 22:10:00] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 22:10:53] EDIT gabaros/controllers/manage_char.py: 0
[2015-04-30 22:12:01] EDIT gabaros/models/menu.py: 0
[2015-04-30 22:13:37] EDIT gabaros/models/menu.py: 0
[2015-05-01 13:19:08] EDIT gabaros/models/menu.py: 2
[2015-05-01 13:19:55] EDIT gabaros/models/menu.py: 0
[2015-05-01 14:04:24] EDIT gabaros/models/menu.py: 0
[2015-05-01 14:48:39] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 15:33:04] CREATE view_char/view_actions.html: 0
[2015-05-01 15:33:18] EDIT gabaros/views/view_char/view_actions.html: 15
[2015-05-01 15:33:32] EDIT gabaros/controllers/view_char.py: 0
[2015-05-01 15:34:09] EDIT gabaros/models/menu.py: 0
[2015-05-01 15:35:21] EDIT gabaros/views/view_char/view_weapons.html: -2
